Time,Day,Date,Month,Year,temp
00:00,Friday,1,January,2010,24
06:00,Friday,1,January,2010,29
12:00,Friday,1,January,2010,32
18:00,Friday,1,January,2010,28
00:00,Saturday,2,January,2010,27
06:00,Saturday,2,January,2010,31
12:00,Saturday,2,January,2010,33
18:00,Saturday,2,January,2010,29
00:00,Sunday,3,January,2010,27
06:00,Sunday,3,January,2010,30
12:00,Sunday,3,January,2010,30
18:00,Sunday,3,January,2010,27
00:00,Monday,4,January,2010,25
06:00,Monday,4,January,2010,28
12:00,Monday,4,January,2010,29
18:00,Monday,4,January,2010,26
00:00,Tuesday,5,January,2010,23
06:00,Tuesday,5,January,2010,27
12:00,Tuesday,5,January,2010,29
18:00,Tuesday,5,January,2010,27
00:00,Wednesday,6,January,2010,24
06:00,Wednesday,6,January,2010,29
12:00,Wednesday,6,January,2010,33
18:00,Wednesday,6,January,2010,27
00:00,Thursday,7,January,2010,26
06:00,Thursday,7,January,2010,30
12:00,Thursday,7,January,2010,33
18:00,Thursday,7,January,2010,28
00:00,Friday,8,January,2010,26
06:00,Friday,8,January,2010,30
12:00,Friday,8,January,2010,32
18:00,Friday,8,January,2010,27
00:00,Saturday,9,January,2010,25
06:00,Saturday,9,January,2010,29
12:00,Saturday,9,January,2010,32
18:00,Saturday,9,January,2010,29
00:00,Sunday,10,January,2010,25
06:00,Sunday,10,January,2010,29
12:00,Sunday,10,January,2010,32
18:00,Sunday,10,January,2010,29
00:00,Monday,11,January,2010,27
06:00,Monday,11,January,2010,31
12:00,Monday,11,January,2010,31
18:00,Monday,11,January,2010,28
00:00,Tuesday,12,January,2010,26
06:00,Tuesday,12,January,2010,29
12:00,Tuesday,12,January,2010,30
18:00,Tuesday,12,January,2010,26
00:00,Wednesday,13,January,2010,25
06:00,Wednesday,13,January,2010,27
12:00,Wednesday,13,January,2010,29
18:00,Wednesday,13,January,2010,26
00:00,Thursday,14,January,2010,22
06:00,Thursday,14,January,2010,27
12:00,Thursday,14,January,2010,30
18:00,Thursday,14,January,2010,27
00:00,Friday,15,January,2010,25
06:00,Friday,15,January,2010,31
12:00,Friday,15,January,2010,32
18:00,Friday,15,January,2010,30
00:00,Saturday,16,January,2010,27
06:00,Saturday,16,January,2010,30
12:00,Saturday,16,January,2010,34
18:00,Saturday,16,January,2010,30
00:00,Sunday,17,January,2010,27
06:00,Sunday,17,January,2010,31
12:00,Sunday,17,January,2010,32
18:00,Sunday,17,January,2010,30
00:00,Monday,18,January,2010,26
06:00,Monday,18,January,2010,29
12:00,Monday,18,January,2010,31
18:00,Monday,18,January,2010,27
00:00,Tuesday,19,January,2010,25
06:00,Tuesday,19,January,2010,29
12:00,Tuesday,19,January,2010,33
18:00,Tuesday,19,January,2010,29
00:00,Wednesday,20,January,2010,27
06:00,Wednesday,20,January,2010,30
12:00,Wednesday,20,January,2010,33
18:00,Wednesday,20,January,2010,31
00:00,Thursday,21,January,2010,27
06:00,Thursday,21,January,2010,31
12:00,Thursday,21,January,2010,33
18:00,Thursday,21,January,2010,29
00:00,Friday,22,January,2010,26
06:00,Friday,22,January,2010,30
12:00,Friday,22,January,2010,32
18:00,Friday,22,January,2010,28
00:00,Saturday,23,January,2010,25
06:00,Saturday,23,January,2010,29
12:00,Saturday,23,January,2010,32
18:00,Saturday,23,January,2010,28
00:00,Sunday,24,January,2010,25
06:00,Sunday,24,January,2010,28
12:00,Sunday,24,January,2010,31
18:00,Sunday,24,January,2010,28
00:00,Monday,25,January,2010,25
06:00,Monday,25,January,2010,29
12:00,Monday,25,January,2010,32
18:00,Monday,25,January,2010,29
00:00,Tuesday,26,January,2010,25
06:00,Tuesday,26,January,2010,31
12:00,Tuesday,26,January,2010,33
18:00,Tuesday,26,January,2010,30
00:00,Wednesday,27,January,2010,27
06:00,Wednesday,27,January,2010,29
12:00,Wednesday,27,January,2010,33
18:00,Wednesday,27,January,2010,29
00:00,Thursday,28,January,2010,26
06:00,Thursday,28,January,2010,30
12:00,Thursday,28,January,2010,33
18:00,Thursday,28,January,2010,29
00:00,Friday,29,January,2010,26
06:00,Friday,29,January,2010,29
12:00,Friday,29,January,2010,32
18:00,Friday,29,January,2010,29
00:00,Saturday,30,January,2010,25
06:00,Saturday,30,January,2010,31
12:00,Saturday,30,January,2010,33
18:00,Saturday,30,January,2010,29
00:00,Sunday,31,January,2010,27
06:00,Sunday,31,January,2010,31
12:00,Sunday,31,January,2010,32
18:00,Sunday,31,January,2010,29
00:00,Friday,1,October,2010,28
06:00,Friday,1,October,2010,34
12:00,Friday,1,October,2010,36
18:00,Friday,1,October,2010,32
00:00,Saturday,2,October,2010,29
06:00,Saturday,2,October,2010,34
12:00,Saturday,2,October,2010,35
18:00,Saturday,2,October,2010,32
00:00,Sunday,3,October,2010,30
06:00,Sunday,3,October,2010,35
12:00,Sunday,3,October,2010,35
18:00,Sunday,3,October,2010,32
00:00,Monday,4,October,2010,30
06:00,Monday,4,October,2010,31
12:00,Monday,4,October,2010,33
18:00,Monday,4,October,2010,31
00:00,Tuesday,5,October,2010,27
06:00,Tuesday,5,October,2010,33
12:00,Tuesday,5,October,2010,32
18:00,Tuesday,5,October,2010,28
00:00,Wednesday,6,October,2010,28
06:00,Wednesday,6,October,2010,33
12:00,Wednesday,6,October,2010,33
18:00,Wednesday,6,October,2010,31
00:00,Thursday,7,October,2010,30
06:00,Thursday,7,October,2010,32
12:00,Thursday,7,October,2010,33
18:00,Thursday,7,October,2010,31
00:00,Friday,8,October,2010,29
06:00,Friday,8,October,2010,33
12:00,Friday,8,October,2010,33
18:00,Friday,8,October,2010,31
00:00,Saturday,9,October,2010,29
06:00,Saturday,9,October,2010,31
12:00,Saturday,9,October,2010,33
18:00,Saturday,9,October,2010,30
00:00,Sunday,10,October,2010,29
06:00,Sunday,10,October,2010,29
12:00,Sunday,10,October,2010,32
18:00,Sunday,10,October,2010,30
00:00,Monday,11,October,2010,29
06:00,Monday,11,October,2010,25
12:00,Monday,11,October,2010,25
18:00,Monday,11,October,2010,24
00:00,Tuesday,12,October,2010,24
06:00,Tuesday,12,October,2010,29
12:00,Tuesday,12,October,2010,31
18:00,Tuesday,12,October,2010,29
00:00,Wednesday,13,October,2010,27
06:00,Wednesday,13,October,2010,31
12:00,Wednesday,13,October,2010,31
18:00,Wednesday,13,October,2010,28
00:00,Thursday,14,October,2010,27
06:00,Thursday,14,October,2010,30
12:00,Thursday,14,October,2010,31
18:00,Thursday,14,October,2010,29
00:00,Friday,15,October,2010,28
06:00,Friday,15,October,2010,29
12:00,Friday,15,October,2010,30
18:00,Friday,15,October,2010,29
00:00,Saturday,16,October,2010,28
06:00,Saturday,16,October,2010,30
12:00,Saturday,16,October,2010,31
18:00,Saturday,16,October,2010,30
